date,open,high,low,close,volume
2024-09-22,25872.55,25956,25847.35,25939.05,209200
2024-09-23,25872.55,25956,25847.35,25939.05,209200
2024-09-24,25921.45,26011.55,25886.85,25940.4,384100
2024-09-25,25899.45,26032.8,25871.35,26004.15,278500
2024-09-26,26005.4,26250.9,25998.4,26216.05,370900
2024-09-27,26248.25,26277.35,26151.4,26178.95,490300
2024-09-29,26061.3,26134.7,25794.1,25810.85,343100
2024-09-30,26061.3,26134.7,25794.1,25810.85,343100
2024-10-01,25788.45,25907.6,25739.2,25796.9,247400
2024-10-02,25452.85,25639.45,25230.3,25250.1,423400
2024-10-03,25452.85,25639.45,25230.3,25250.1,423400
2024-10-04,25181.9,25485.05,24966.8,25014.6,374900
2024-10-06,25084.1,25143,24694.35,24795.75,374300
2024-10-07,25084.1,25143,24694.35,24795.75,374300
2024-10-08,24832.2,25044,24756.8,25013.15,333200
2024-10-09,25065.8,25234.05,24947.7,24981.95,290600
2024-10-10,25067.05,25134.05,24979.4,24998.45,261400
2024-10-11,24985.3,25028.65,24920.05,24964.25,210500
2024-10-13,25023.45,25159.75,25017.5,25127.95,206400
2024-10-14,25023.45,25159.75,25017.5,25127.95,206400
2024-10-15,25186.3,25212.05,25008.15,25057.35,257200
2024-10-16,25008.55,25093.4,24908.45,24971.3,226800
2024-10-17,25027.4,25029.5,24728.9,24749.85,252800
2024-10-18,24664.95,24886.2,24567.65,24854.05,290900
2024-10-20,24956.15,24978.3,24679.6,24781.1,242000
2024-10-21,24956.15,24978.3,24679.6,24781.1,242000
2024-10-22,24798.65,24882,24445.8,24472.1,279500
2024-10-23,24378.15,24604.25,24378.1,24435.5,284600
2024-10-24,24412.7,24480.65,24341.2,24399.4,216700
2024-10-25,24418.05,24440.25,24073.9,24180.8,372600
2024-10-27,24251.1,24492.6,24134.9,24339.15,278600
2024-10-28,24251.1,24492.6,24134.9,24339.15,278600
2024-10-29,24328.85,24484.5,24140.85,24466.85,332000
2024-10-30,24371.45,24498.2,24307.3,24340.85,285200
2024-10-31,24349.85,24372.45,24172.6,24205.35,287000
2024-11-01,24302.75,24368.25,24280.2,24304.35,38800
2024-11-03,24315.75,24316.75,23816.15,23995.35,285500
2024-11-04,24315.75,24316.75,23816.15,23995.35,285500
2024-11-05,23916.5,24229.05,23842.75,24213.3,289500
2024-11-06,24308.75,24537.6,24204.05,24484.05,351100
2024-11-07,24489.6,24503.35,24179.05,24199.35,322200
2024-11-08,24207.7,24276.15,24066.65,24148.2,298700
2024-11-10,24087.25,24336.8,24004.6,24141.3,273400
2024-11-11,24087.25,24336.8,24004.6,24141.3,273400
2024-11-12,24225.8,24242,23839.15,23883.45,255800
2024-11-13,23822.45,23873.6,23509.6,23559.05,304600
2024-11-14,23542.15,23675.9,23484.15,23532.7,257700
2024-11-17,23605.3,23606.8,23350.4,23453.8,263300
2024-11-18,23605.3,23606.8,23350.4,23453.8,263300
2024-11-19,23529.55,23780.65,23464.8,23518.5,297500
2024-11-20,23488.45,23507.3,23263.15,23349.9,420300
2024-11-21,23488.45,23507.3,23263.15,23349.9,420300
2024-11-22,23411.8,23956.1,23359,23907.25,367600
2024-11-24,24253.55,24351.55,24135.45,24221.9,687200
2024-11-25,24253.55,24351.55,24135.45,24221.9,687200
2024-11-26,24343.3,24343.3,24125.4,24194.5,230700
2024-11-27,24204.8,24354.55,24145.65,24274.9,295000
2024-11-28,24274.15,24345.75,23873.35,23914.15,366700
2024-11-29,23927.15,24188.45,23927.15,24131.1,282100
2024-12-01,24140.85,24301.7,24008.65,24276.05,220400
2024-12-02,24140.85,24301.7,24008.65,24276.05,220400
2024-12-03,24367.5,24481.35,24280,24457.15,339500
2024-12-04,24488.75,24573.2,24366.3,24467.45,348000
2024-12-05,24539.15,24857.75,24295.55,24708.4,361500
2024-12-06,24729.45,24751.05,24620.5,24677.8,226700
2024-12-08,24633.9,24705,24580.05,24619,248100
2024-12-09,24633.9,24705,24580.05,24619,248100
2024-12-10,24652.65,24677.8,24510.65,24610.05,261000
2024-12-11,24620.5,24691.75,24583.85,24641.8,187300
2024-12-12,24604.45,24675.25,24527.95,24548.7,266100
2024-12-13,24498.35,24792.3,24180.8,24768.3,310100
2024-12-15,24753.4,24781.25,24601.75,24668.25,187600
2024-12-16,24753.4,24781.25,24601.75,24668.25,187600
2024-12-17,24584.8,24624.1,24303.45,24336,264900
2024-12-18,24297.95,24394.45,24149.85,24198.85,235300
2024-12-19,23877.15,24004.9,23870.3,23951.7,271100
2024-12-20,23960.7,24065.8,23537.35,23587.5,442700
2024-12-22,23738.2,23869.55,23647.2,23753.45,189800
2024-12-23,23738.2,23869.55,23647.2,23753.45,189800
2024-12-24,23769.1,23867.65,23685.15,23727.65,177700
2024-12-25,23775.8,23854.5,23653.6,23750.2,177700
2024-12-26,23775.8,23854.5,23653.6,23750.2,177700
2024-12-27,23801.4,23938.85,23800.6,23813.4,176800
2024-12-29,23796.9,23915.35,23599.3,23644.9,364900
2024-12-30,23796.9,23915.35,23599.3,23644.9,364900
2024-12-31,23560.6,23689.85,23460.45,23644.8,193600
